Epoch	EpLen	AvgRet	StdRet	MaxRet	MinRet	FinalScore	AvgVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossEnt	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
93	200.0	0.3011906	0.100668736	0.8817173	0.13221116	0.3863435	13.028184	3.2230394	36.289963	9.360761	18800	-0.0016206877	-0.5402294	0.46116212	-1.6559148e-05	0.006424904	0.5402293	0.00076234643	0.0	99.0	7337.945783376694
94	200.0	0.27492896	0.08587491	0.9114976	0.13019025	0.34573486	13.03912	2.803057	37.468937	9.8405075	19000	-0.0016211548	-0.5403849	0.42550817	-5.2798423e-05	-0.01090005	0.54038495	0.0014461532	0.0	99.0	7417.858402490616
95	200.0	0.3603366	0.1025077	0.9419329	0.14290899	0.4599274	13.864565	3.5914822	36.609703	9.793855	19200	-0.0016239652	-0.54132164	0.5789376	-3.659271e-05	-0.006426871	0.5413217	0.0009889958	0.0	99.0	7494.158495664597
96	200.0	0.26069343	0.08060738	0.9900801	0.123999335	0.32889584	12.783846	2.3811607	36.108265	10.03201	19400	-0.0016151757	-0.5383916	0.3856307	-1.1047232e-05	0.0087488	0.53839165	0.0011167481	0.0	99.0	7575.33761382103
97	200.0	0.2811627	0.09627814	0.9951159	0.13637531	0.35690698	13.34696	3.1421626	37.132492	10.159612	19600	-0.0016169441	-0.53898096	0.45673347	-8.1193284e-05	-0.015114576	0.538981	0.0035440782	0.0	99.0	7655.104035377502
98	200.0	0.3287007	0.10401437	0.93998194	0.15984903	0.42480242	13.640339	3.4304821	36.758446	9.906473	19800	-0.0016272289	-0.5424096	0.52379346	1.1641532e-08	0.0009964705	0.5424096	0.0013419569	0.0	99.0	7734.304772377014
99	200.0	0.2518866	0.08587247	0.91770077	0.113836326	0.3191561	12.64158	2.691122	36.523586	9.78649	20000	-0.0016222473	-0.54074895	0.39337307	-8.485629e-06	-0.0054270923	0.5407489	0.00015430091	0.0	99.0	7810.729702472687
100	200.0	0.29236427	0.0942356	0.957523	0.14055932	0.36949983	13.161824	2.928819	36.504173	9.638976	20200	-0.0016219344	-0.54064506	0.4363452	-1.602422e-05	-0.0022428036	0.5406451	0.0009303733	0.0	99.0	7887.5040781497955
101	200.0	0.36543956	0.1288057	0.9864221	0.15183182	0.47412923	14.277493	4.39419	37.5779	9.69586	20400	-0.0016241999	-0.54140013	0.66053164	-1.6392674e-05	-0.0055692196	0.5414002	0.0011577746	0.0	99.0	7964.245459079742
102	200.0	0.22502266	0.071015604	0.78319573	0.11649585	0.28511798	12.693034	2.2140174	37.81746	10.05821	20600	-0.001626847	-0.542282	0.39542952	-7.250032e-05	-0.056536287	0.542282	0.0012343653	0.0	99.0	8043.969334602356
103	200.0	0.16189106	0.05404311	0.66272366	0.08157605	0.20777775	11.181411	1.747941	37.479404	9.343069	20800	-0.0016227743	-0.5409248	0.3450935	-8.39273e-06	-0.09077525	0.5409248	0.0005711764	0.0	99.0	8120.38871383667
104	200.0	0.26793128	0.08903008	0.981288	0.12512258	0.34197342	12.171307	3.0139084	36.70335	8.63843	21000	-0.0016225097	-0.5408366	0.39478806	-4.936848e-05	-0.00024849176	0.54083645	0.0026931972	0.0	99.0	8200.383876085281
105	200.0	0.2632919	0.08120146	0.8189577	0.13082385	0.3389338	12.222901	2.8351362	36.97072	8.825315	21200	-0.0016100662	-0.5366887	0.38760424	-1.7708517e-05	-0.01100862	0.5366887	0.001274827	0.0	99.0	8276.816606283188
